AUC	Recall	sigthreshold	cell_line
0.954357864771012	0.7541729893778453	-0.839446908563295	921
0.969802322394873	0.8694992412746586	-0.6102439520437468	Mel202
0.946036426996716	0.8573596358118362	-0.3953614192570588	Mel270
0.930880325904233	0.6631259484066768	-0.47836389535562585	Mel285
0.92839146137454	0.7708649468892261	-0.27468258121186656	MP38
0.970871900167288	0.8983308042488619	-0.286402583666008	MP41
0.878538502754725	0.496206373292868	-0.25707256369959924	MP46
0.966712203821031	0.9226100151745068	-0.31485771034222376	OMM1
0.973460973704338	0.936267071320182	-0.25618996140605776	OMM23
0.969491469963884	0.9059180576631259	-0.368694898789429	OMM25
